trial_numbers,cue_time in s,M7_L_rewards,M7_L_beambreak_time in s,M7_L_reward time in s,M8_R_rewards,M8_R_beambreak_time in s,M8_R_reward time in s,M7_L_beambreak_time,M8_R_beambreak_time,cue_time
,202307131122124,1,202307131122154,202307131122155,1,202307131122195,202307131122196,1689272535.497586,1689272539.5669796,1689272532.4917119
,202307131122248,2,202307131122348,202307131122349,2,202307131122369,202307131122369,1689272554.8661273,1689272556.9334302,1689272544.8523238
,202307131122420,3,202307131122470,202307131122471,2,,202307131122369,1689272567.0975988,1689272578.1819148,1689272562.089495
,202307131123082,3,,202307131122471,2,,202307131122369,1689272604.446851,1689272604.4503422,1689272588.291451
,202307131123395,4,202307131123416,202307131123417,3,202307131123405,202307131123406,1689272621.6529865,1689272620.587467,1689272619.583587
,202307131123468,5,202307131123478,202307131123478,3,,202307131123406,1689272627.8238776,1689272642.9085455,1689272626.8203347
,202307131124130,5,,202307131123478,3,,202307131123406,1689272669.051929,1689272669.0540526,1689272653.029327
,202307131124441,6,202307131124501,202307131124502,3,,202307131123406,1689272690.1870751,1689272700.265175,1689272684.1780295
,202307131125103,6,,202307131124502,3,,202307131123406,1689272726.399339,1689272726.4015274,1689272710.3780687
,202307131125415,7,202307131125495,202307131125496,4,202307131125425,202307131125425,1689272749.5933652,1689272742.5229728,1689272741.5194
,202307131125547,8,202307131125557,202307131125558,4,,202307131125425,1689272755.7602043,1689272770.8460114,1689272754.75478
,202307131126210,9,202307131126270,202307131126271,4,,202307131125425,1689272787.0847144,1689272797.1646743,1689272781.0757377
,202307131126472,10,202307131126543,202307131126544,5,202307131126482,202307131126483,1689272814.351348,1689272808.2803097,1689272807.276621
,202307131126595,11,202307131127065,202307131127065,5,,202307131126483,1689272826.5298045,1689272835.607984,1689272819.5196671
,202307131127257,11,,202307131127065,5,,202307131126483,1689272861.7599454,1689272861.762183,1689272845.7374623
,202307131127568,12,202307131128069,202307131128069,5,,202307131126483,1689272886.90457,1689272892.9781184,1689272876.890857
,202307131128230,13,202307131128351,202307131128352,6,202307131128241,202307131128241,1689272915.1790292,1689272904.1020095,1689272903.0983772
,202307131128403,13,,202307131128352,7,202307131128413,202307131128414,1689272936.4348538,1689272921.3532538,1689272920.3498638
,202307131129015,13,,202307131128352,7,,202307131128414,1689272957.5803435,1689272957.5824704,1689272941.557219
,202307131129329,13,,202307131128352,7,,202307131128414,1689272988.9510024,1689272988.9525626,1689272972.9275637
,202307131130040,13,,202307131128352,7,,202307131128414,1689273020.114589,1689273020.116816,1689273004.0923789
