trial_numbers,cue_time in s,M1_L_rewards,M1_L_beambreak_time in s,M1_L_reward time in s,M2_R_rewards,M2_R_beambreak_time in s,M2_R_reward time in s,M1_L_beambreak_time,M1_L_reward time,M2_R_beambreak_time,M2_R_reward time,cue_time
,20230718151456680563,0,,,0,,,1689718512.7034972,,1689718512.7058609,,1689718496.680563
,20230718151528154242,0,,,1,20230718151533162477,202307181515332,1689718544.2315571,,1689718533.1624775,1689718533.2168171,1689718528.1542423
,20230718151549366325,0,,,1,,202307181515332,1689718565.3897839,,1689718565.393371,1689718533.2168171,1689718549.366325
,20230718151620525620,0,,,2,20230718151627535206,202307181516275,1689718596.6015732,,1689718587.535206,1689718587.5898776,1689718580.5256195
,20230718151641739211,1,20230718151644743958,202307181516448,3,20230718151654817834,202307181516548,1689718604.7439578,1689718604.8071299,1689718614.8178344,1689718614.8724926,1689718601.739211
,20230718151659977227,2,20230718151707989051,202307181517080,3,,202307181516548,1689718627.9890513,1689718628.0895386,1689718636.1008108,1689718614.8724926,1689718619.9772267
,20230718151726231482,3,20230718151728236278,202307181517282,3,,202307181516548,1689718648.2362778,1689718648.290895,1689718662.3094668,1689718614.8724926,1689718646.2314818
,20230718151752448648,3,,202307181517282,3,,202307181516548,1689718688.4685626,1689718648.290895,1689718688.4699368,1689718614.8724926,1689718672.4486477
,20230718151823615402,3,,202307181517282,3,,202307181516548,1689718719.6379929,1689718648.290895,1689718719.640214,1689718614.8724926,1689718703.6154015
,20230718151854781881,3,,202307181517282,3,,202307181516548,1689718750.8045266,1689718648.290895,1689718750.8061483,1689718614.8724926,1689718734.7818809
,20230718151925952037,4,20230718151938968940,202307181519390,3,,202307181516548,1689718778.9689403,1689718779.0236921,1689718782.0295115,1689718614.8724926,1689718765.9520369
,20230718151952279872,5,20230718151959290172,202307181519593,3,,202307181516548,1689718799.2901723,1689718799.3449275,1689718808.3576314,1689718614.8724926,1689718792.2798717
,20230718152018493574,5,,202307181519593,3,,202307181516548,1689718834.5154448,1689718799.3449275,1689718834.5167966,1689718614.8724926,1689718818.4935741
,20230718152049643989,5,,202307181519593,3,,202307181516548,1689718865.6674178,1689718799.3449275,1689718865.6694462,1689718614.8724926,1689718849.6439888
,20230718152120811994,5,,202307181519593,3,,202307181516548,1689718896.8345008,1689718799.3449275,1689718896.8363905,1689718614.8724926,1689718880.811994
,20230718152151975995,5,,202307181519593,3,,202307181516548,1689718927.9978669,1689718799.3449275,1689718928.0000587,1689718614.8724926,1689718911.9759953
,20230718152223140391,5,,202307181519593,3,,202307181516548,1689718959.164128,1689718799.3449275,1689718959.1680868,1689718614.8724926,1689718943.1403906
,20230718152254306527,5,,202307181519593,3,,202307181516548,1689718990.3311892,1689718799.3449275,1689718990.3337662,1689718614.8724926,1689718974.3065267
,20230718152325479927,5,,202307181519593,3,,202307181516548,1689719021.5009484,1689718799.3449275,1689719021.502514,1689718614.8724926,1689719005.4799273
,20230718152356638413,5,,202307181519593,3,,202307181516548,1689719052.6604342,1689718799.3449275,1689719052.6620748,1689718614.8724926,1689719036.6384127
,20230718152427817859,5,,202307181519593,3,,202307181516548,1689719083.8407931,1689718799.3449275,1689719083.8429854,1689718614.8724926,1689719067.817859
,20230718152458988595,5,,202307181519593,3,,202307181516548,1689719115.0105517,1689718799.3449275,1689719115.0126402,1689718614.8724926,1689719098.9885952
,20230718152530141043,5,,202307181519593,3,,202307181516548,1689719146.1634011,1689718799.3449275,1689719146.1660829,1689718614.8724926,1689719130.141043
,20230718152601314536,5,,202307181519593,3,,202307181516548,1689719177.3374345,1689718799.3449275,1689719177.3396053,1689718614.8724926,1689719161.3145356
,20230718152632476192,6,20230718152643490877,202307181526435,3,,202307181516548,1689719203.4908774,1689719203.5453053,1689719208.5535383,1689718614.8724926,1689719192.4761922
,20230718152658698975,6,,202307181526435,3,,202307181516548,1689719234.720787,1689719203.5453053,1689719234.7221572,1689718614.8724926,1689719218.6989753
,20230718152729897991,7,20230718152732903463,202307181527329,3,,202307181516548,1689719252.9034634,1689719252.9579976,1689719265.976682,1689718614.8724926,1689719249.8979914
,20230718152756107135,7,,202307181527329,3,,202307181516548,1689719292.12935,1689719252.9579976,1689719292.1309311,1689718614.8724926,1689719276.1071353
,20230718152827303021,7,,202307181527329,3,,202307181516548,1689719323.324836,1689719252.9579976,1689719323.3255875,1689718614.8724926,1689719307.3030207
,20230718152858462304,7,,202307181527329,3,,202307181516548,1689719354.4844823,1689719252.9579976,1689719354.48666,1689718614.8724926,1689719338.4623044
,20230718152929640396,7,,202307181527329,4,20230718152930644010,202307181529306,1689719385.7174962,1689719252.9579976,1689719370.6440096,1689719370.6983132,1689719369.6403964
,20230718152950847608,7,,202307181527329,4,,202307181529306,1689719406.8692482,1689719252.9579976,1689719406.870798,1689719370.6983132,1689719390.8476079
,20230718153022022500,7,,202307181527329,4,,202307181529306,1689719438.0467324,1689719252.9579976,1689719438.0508428,1689719370.6983132,1689719422.0225
,20230718153053196628,8,20230718153101207919,202307181531012,4,,202307181529306,1689719461.2079194,1689719461.2617378,1689719469.273048,1689719370.6983132,1689719453.1966283
,20230718153119426089,8,,202307181531012,4,,202307181529306,1689719495.4479184,1689719461.2617378,1689719495.449649,1689719370.6983132,1689719479.4260893
,20230718153150583380,8,,202307181531012,4,,202307181529306,1689719526.606372,1689719461.2617378,1689719526.6085677,1689719370.6983132,1689719510.5833802
,20230718153221765808,8,,202307181531012,4,,202307181529306,1689719557.7887907,1689719461.2617378,1689719557.790426,1689719370.6983132,1689719541.7658079
,20230718153252946554,8,,202307181531012,4,,202307181529306,1689719588.9689434,1689719461.2617378,1689719588.9704828,1689719370.6983132,1689719572.9465542
,20230718153324134451,9,20230718153333147638,202307181533332,4,,202307181529306,1689719613.1476378,1689719613.2019782,1689719620.21217,1689719370.6983132,1689719604.1344512
,20230718153350359123,9,,202307181533332,4,,202307181529306,1689719646.381563,1689719613.2019782,1689719646.3847353,1689719370.6983132,1689719630.3591228
,20230718153421531399,9,,202307181533332,5,20230718153427541242,202307181534275,1689719677.6068926,1689719613.2019782,1689719667.5412424,1689719667.593977,1689719661.5313993
,20230718153442736910,9,,202307181533332,6,20230718153446745644,202307181534467,1689719698.8147478,1689719613.2019782,1689719686.7456436,1689719686.7990263,1689719682.73691
,20230718153503941768,9,,202307181533332,6,,202307181534467,1689719719.9644797,1689719613.2019782,1689719719.9666917,1689719686.7990263,1689719703.941768
,20230718153535116534,9,,202307181533332,7,20230718153539123198,202307181535391,1689719751.1984074,1689719613.2019782,1689719739.1231983,1689719739.1808379,1689719735.116534
,20230718153556329367,9,,202307181533332,8,20230718153558335891,202307181535583,1689719772.4119532,1689719613.2019782,1689719758.3358915,1689719758.393684,1689719756.3293667
,20230718153617551329,9,,202307181533332,8,,202307181535583,1689719793.5737329,1689719613.2019782,1689719793.5761135,1689719758.393684,1689719777.5513291
,20230718153648723513,10,20230718153652730496,202307181536527,8,,202307181535583,1689719812.7304957,1689719812.7852063,1689719824.8013206,1689719758.393684,1689719808.7235134
,20230718153714933384,10,,202307181536527,8,,202307181535583,1689719850.956006,1689719812.7852063,1689719850.958274,1689719758.393684,1689719834.9333842
,20230718153746117527,11,20230718153748122395,202307181537481,8,,202307181535583,1689719868.1223953,1689719868.1762633,1689719882.194361,1689719758.393684,1689719866.117527
,20230718153812376120,11,,202307181537481,8,,202307181535583,1689719908.3981125,1689719868.1762633,1689719908.4002416,1689719758.393684,1689719892.3761203
,20230718153843536850,11,,202307181537481,8,,202307181535583,1689719939.5593026,1689719868.1762633,1689719939.5625758,1689719758.393684,1689719923.53685
,20230718153914715885,11,,202307181537481,8,,202307181535583,1689719970.7384925,1689719868.1762633,1689719970.741086,1689719758.393684,1689719954.7158847
,20230718153945878962,11,,202307181537481,8,,202307181535583,1689720001.9008827,1689719868.1762633,1689720001.9022193,1689719758.393684,1689719985.8789618
