,names,L,R,successful_trials,time_between_breaks,time_since_start,cue_times
0,M5M6,,,False,,0 days 00:00:00.000600,2023-07-14 14:09:22.000600
1,M5M6,,,False,,0 days 00:00:31.000700,2023-07-14 14:09:53.000700
2,M5M6,,,False,,0 days 00:01:02.000900,2023-07-14 14:10:24.000900
3,M5M6,11.0,,False,,0 days 00:01:34,2023-07-14 14:10:56.000000
4,M5M6,,10.099999999999998,False,,0 days 00:02:00.000200,2023-07-14 14:11:22.000200
5,M5M6,3.0,13.100000000000001,True,10.100000000000001,0 days 00:02:21.000400,2023-07-14 14:11:43.000400
6,M5M6,1.0000000000000002,5.1,True,4.1,0 days 00:02:39.000700,2023-07-14 14:12:01.000700
7,M5M6,,,False,,0 days 00:02:49.000900,2023-07-14 14:12:11.000900
8,M5M6,10.200000000000003,1.0,True,9.200000000000003,0 days 00:03:21.001000,2023-07-14 14:12:43.001000
9,M5M6,1.0,,False,,0 days 00:03:37.000300,2023-07-14 14:12:59.000300
10,M5M6,,,False,,0 days 00:04:03.000500,2023-07-14 14:13:25.000500
11,M5M6,,6.0,False,,0 days 00:04:34.000700,2023-07-14 14:13:56.000700
12,M5M6,,,False,,0 days 00:04:55.000900,2023-07-14 14:14:17.000900
13,M5M6,,,False,,0 days 00:05:27,2023-07-14 14:14:49.000000
14,M5M6,1.0,9.0,True,8.0,0 days 00:05:58.000200,2023-07-14 14:15:20.000200
15,M5M6,,14.0,False,,0 days 00:06:12.000400,2023-07-14 14:15:34.000400
