,names,L,R,successful_trials,time_between_breaks,time_since_start,cue_times,mouse_L_reward_time,mouse_R_reward_time
0,M3M4,,,False,,0 days 00:00:00.000272,2023-08-18 12:00:23.000272,,
1,M3M4,,,False,,0 days 00:00:41.000492,2023-08-18 12:01:04.000492,,
2,M3M4,1.000004,,False,,0 days 00:01:22.000652,2023-08-18 12:01:45.000652,1.000048,
3,M3M4,1.000003,,False,,0 days 00:01:53.000848,2023-08-18 12:02:16.000848,1.000052,
4,M3M4,1.00005,0.999651,True,0.00039900000000014924,0 days 00:02:25.000454,2023-08-18 12:02:48.000454,1.000546,1.000546
5,M3M4,,,False,,0 days 00:02:36.000264,2023-08-18 12:02:59.000264,,
6,M3M4,,,False,,0 days 00:03:17.000427,2023-08-18 12:03:40.000427,,
7,M3M4,,,False,,0 days 00:03:58.000586,2023-08-18 12:04:21.000586,,
8,M3M4,,,False,,0 days 00:04:39.000764,2023-08-18 12:05:02.000764,,
9,M3M4,,,False,,0 days 00:05:20.000936,2023-08-18 12:05:43.000936,,
10,M3M4,,,False,,0 days 00:06:02.000938,2023-08-18 12:06:25.000938,,
11,M3M4,,,False,,0 days 00:06:43.000265,2023-08-18 12:07:06.000265,,
12,M3M4,,,False,,0 days 00:07:24.000442,2023-08-18 12:07:47.000442,,
13,M3M4,,,False,,0 days 00:08:05.000605,2023-08-18 12:08:28.000605,,
14,M3M4,,,False,,0 days 00:08:46.000773,2023-08-18 12:09:09.000773,,
15,M3M4,,,False,,0 days 00:09:27.000946,2023-08-18 12:09:50.000946,,
16,M3M4,,,False,,0 days 00:10:09.000122,2023-08-18 12:10:32.000122,,
17,M3M4,,,False,,0 days 00:10:50.000277,2023-08-18 12:11:13.000277,,
18,M3M4,3.000065,1.000005,True,2.0000600000000004,0 days 00:11:31.000432,2023-08-18 12:11:54.000432,3.000068,0.999968
19,M3M4,,1.000003,False,,0 days 00:11:44.000652,2023-08-18 12:12:07.000652,,1.000048
20,M3M4,,1.000005,False,,0 days 00:12:05.000845,2023-08-18 12:12:28.000845,,1.000055
21,M3M4,,,False,,0 days 00:12:27.000479,2023-08-18 12:12:50.000479,,
